,pred,pred_score,y
TCGA-FD-A3SS-01,0.0,0.0021299151703715324,0
TCGA-BP-5006-01,0.0,0.002883738372474909,0
TCGA-CM-6170-01,0.0,0.08919436484575272,0
TCGA-56-8308-01,0.0,0.0968848317861557,0
TCGA-G2-A2EK-01,0.0,0.03331126272678375,0
TCGA-SS-A7HO-01,0.0,0.030162371695041656,0
TCGA-FF-8042-01,0.0,0.06599732488393784,0
TCGA-XF-AAN8-01,0.0,0.030246900394558907,0
TCGA-EJ-5515-01,0.0,0.04910540580749512,0
TCGA-AJ-A3IA-01,0.0,0.015008252114057541,0
TCGA-DX-AB2X-01,0.0,0.0024515651166439056,0
TCGA-XJ-A83F-01,0.0,0.05959346145391464,0
TCGA-D7-A6ET-01,0.0,0.029765531420707703,0
TCGA-N6-A4VD-01,0.0,0.0007676890818402171,0
TCGA-DX-A48V-01,0.0,0.03294125571846962,0
TCGA-VR-A8ET-01,0.0,0.010212764143943787,0
TCGA-DD-AACB-01,0.0,0.08199811726808548,0
TCGA-FY-A3NN-01,0.0,0.08493342250585556,0
TCGA-BR-8483-01,0.0,0.04941980913281441,0
TCGA-D1-A1O5-01,0.0,0.03335864469408989,0
TCGA-DQ-5625-01,0.0,0.1315835863351822,0
TCGA-XF-AAMQ-01,0.0,0.01961771957576275,0
TCGA-06-0189-01,0.0,0.03636008873581886,0
TCGA-78-7536-01,0.0,0.0007645544246770442,0
TCGA-EP-A2KC-01,0.0,0.09682482481002808,0
TCGA-B7-5816-01,0.0,0.00709632970392704,0
TCGA-18-3415-01,0.0,0.00039027768070809543,0
TCGA-BJ-A45D-01,0.0,0.00727842329069972,0
TCGA-D1-A161-01,0.0,0.005149581003934145,0
TCGA-85-8288-01,0.0,0.0025047054514288902,0
TCGA-VP-A878-01,0.0,0.021440625190734863,0
TCGA-HR-A2OH-06,1.0,0.9979121685028076,1
TCGA-KM-8438-01,0.0,0.002909801434725523,0
TCGA-EE-A29V-06,1.0,0.9973816871643066,1
TCGA-DU-7009-01,0.0,0.026926081627607346,0
TCGA-PG-A916-01,0.0,0.029535390436649323,0
TCGA-DK-A3WY-01,0.0,0.04701128602027893,0
TCGA-IB-7645-01,0.0,0.28625425696372986,0
TCGA-91-8499-01,0.0,0.0008448674343526363,0
TCGA-KK-A8IC-01,0.0,0.003699768101796508,0
TCGA-HC-7750-01,0.0,0.019917970523238182,0
TCGA-BH-A0AV-01,0.0,0.005968762561678886,0
TCGA-V5-A7RE-01,0.0,0.0014869114384055138,0
TCGA-QU-A6IP-01,0.0,0.032784853130578995,0
TCGA-CQ-7069-01,0.0,0.05194299668073654,0
TCGA-AJ-A2QO-01,0.0,0.04105580225586891,0
TCGA-A4-A7UZ-01,0.0,0.0380014032125473,0
TCGA-DJ-A3UT-01,0.0,0.0965547189116478,0
TCGA-CD-5803-01,0.0,0.20901471376419067,0
TCGA-XE-AAOD-01,0.0,0.009988293051719666,0
TCGA-56-7222-01,0.0,0.0005325220990926027,0
TCGA-63-A5M9-01,0.0,0.0006893653189763427,0
TCGA-VT-A80J-01,0.0,0.00040927008376456797,0
TCGA-CG-4477-01,0.0,5.540473921428202e-06,0
TCGA-DX-A2J4-01,0.0,0.031031623482704163,0
TCGA-MT-A67F-01,0.0,0.02480679377913475,0
TCGA-AA-A010-01,0.0,0.1592997908592224,0
TCGA-B5-A3FB-01,0.0,0.05116137117147446,0
TCGA-FF-A7CX-01,0.0,0.2147049903869629,0
TCGA-A5-A1OF-01,0.0,0.15015801787376404,0
TCGA-76-4926-01,0.0,0.05254070460796356,0
TCGA-RM-A68T-01,0.0,0.0398075133562088,0
TCGA-FA-A86F-01,0.0,0.0003558862954378128,0
TCGA-BC-A5W4-01,0.0,0.00589496735483408,0
TCGA-ND-A4WA-01,0.0,0.0036493425723165274,0
TCGA-06-0221-01,0.0,0.01626078225672245,0
TCGA-RD-A8N1-01,0.0,0.001852426677942276,0
TCGA-OR-A5L5-01,0.0,0.007126343436539173,0
TCGA-TS-A8AI-01,0.0,0.002155950292944908,0
TCGA-UE-A6QU-01,0.0,0.05642659217119217,0
TCGA-LN-A4A8-01,0.0,0.0042922343127429485,0
TCGA-BJ-A45G-01,0.0,0.09472660720348358,0
TCGA-DK-A3IN-01,0.0,0.0037997846957296133,0
TCGA-06-0882-01,0.0,0.22649574279785156,0
TCGA-G9-6356-01,0.0,0.0069081950932741165,0
TCGA-06-0145-01,0.0,0.23790988326072693,0
TCGA-EY-A54A-01,0.0,0.006063702516257763,0
TCGA-EJ-5511-01,0.0,0.00819686520844698,0
TCGA-OR-A5K4-01,0.0,0.01037569809705019,0
TCGA-92-7340-01,0.0,0.010847511701285839,0
TCGA-32-4210-01,0.0,0.0533435232937336,0
TCGA-L7-A56G-01,0.0,0.02010188437998295,0
TCGA-HT-8012-01,0.0,0.04632697254419327,0
TCGA-BR-8369-01,0.0,0.009160742163658142,0
TCGA-D3-A51H-06,0.0,0.08241429179906845,1
TCGA-06-5856-01,0.0,0.008564462885260582,0
TCGA-E2-A1IJ-01,0.0,0.008391333743929863,0
TCGA-L5-A43I-01,0.0,0.0005144939641468227,0
TCGA-B5-A11J-01,0.0,0.05971439555287361,0
TCGA-B0-5121-01,0.0,0.021847529336810112,0
TCGA-N5-A4RN-01,0.0,0.0002156337577616796,0
TCGA-IN-8462-01,0.0,0.00716031389310956,0
TCGA-EL-A3T0-01,0.0,0.03444528207182884,0
TCGA-HU-A4H6-01,0.0,0.0009901352459564805,0
TCGA-E2-A15O-01,0.0,0.0008812951855361462,0
TCGA-DO-A1JZ-01,0.0,0.04092930257320404,0
TCGA-C8-A12N-01,0.0,0.009043204598128796,0
TCGA-QG-A5YX-01,0.0,0.006050390657037497,0
TCGA-BJ-A0Z2-01,0.0,0.011911069042980671,0
TCGA-27-2524-01,0.0,0.19953575730323792,0
TCGA-B0-5097-01,0.0,0.007028542459011078,0
TCGA-BR-8080-01,0.0,0.004653892479836941,0
TCGA-69-7763-01,0.0,0.643661618232727,0
TCGA-E2-A15J-01,0.0,0.012667982839047909,0
TCGA-2G-AAGN-01,0.0,0.1120060458779335,0
TCGA-MN-A4N5-01,0.0,0.054283369332551956,0
TCGA-E8-A436-01,0.0,0.09439108520746231,0
TCGA-B9-A5W8-01,0.0,0.0032682495657354593,0
TCGA-HT-A61B-01,0.0,0.009550916031002998,0
TCGA-G2-AA3C-01,0.0,0.0335497111082077,0
TCGA-D5-6539-01,0.0,0.0005924404831603169,0
TCGA-WR-A838-01,0.0,0.0051431236788630486,0
TCGA-VS-A94Y-01,0.0,0.0005357247428037226,0
TCGA-N8-A4PL-01,0.0,7.339676085393876e-05,0
TCGA-FD-A6TH-01,0.0,0.0021866264287382364,0
TCGA-IB-7647-01,0.0,0.00840822048485279,0
TCGA-AX-A1CK-01,0.0,0.016547791659832,0
TCGA-DB-A64O-01,0.0,0.043940432369709015,0
TCGA-2G-AAKM-01,0.0,0.18319931626319885,0
TCGA-CV-7243-01,0.0,0.0027337875217199326,0
TCGA-46-3769-01,0.0,0.00017085322178900242,0
TCGA-BH-A0C0-01,0.0,8.582816803937021e-07,0
TCGA-77-8154-01,0.0,2.7848369427374564e-05,0
TCGA-G4-6302-01,0.0,0.21336661279201508,0
TCGA-BI-A0VS-01,0.0,0.0030758038628846407,0
TCGA-D1-A16O-01,0.0,0.007427236996591091,0
TCGA-HT-7474-01,0.0,0.03149966150522232,0
TCGA-18-5592-01,0.0,0.004459724761545658,0
TCGA-BG-A186-01,0.0,0.03469042107462883,0
TCGA-GM-A2DA-01,0.0,0.0019558221101760864,0
TCGA-5C-A9VH-01,0.0,0.003357806708663702,0
TCGA-62-A46O-01,0.0,0.003751536598429084,0
TCGA-BG-A0MU-01,0.0,0.05032733082771301,0
TCGA-4E-A92E-01,0.0,0.07237635552883148,0
TCGA-HT-8105-01,0.0,0.01380049530416727,0
TCGA-BH-A0DZ-01,0.0,0.002020620508119464,0
TCGA-XM-AAZ3-01,0.0,0.03695693612098694,0
TCGA-LP-A4AU-01,0.0,0.06304824352264404,0
TCGA-B6-A0WZ-01,0.0,0.0031537506729364395,0
TCGA-B6-A0X0-01,0.0,0.015546430833637714,0
TCGA-05-5715-01,0.0,0.17785558104515076,0
TCGA-55-7914-01,0.0,0.22631169855594635,0
TCGA-44-3917-01,0.0,0.00771439028903842,0
TCGA-ED-A627-01,0.0,0.04078752547502518,0
TCGA-HB-A5W3-01,0.0,0.012701363302767277,0
TCGA-KN-8421-01,0.0,0.02519276738166809,0
TCGA-XN-A8T3-01,0.0,0.003998510539531708,0
TCGA-KK-A8IG-01,0.0,0.005519015248864889,0
TCGA-BR-6802-01,0.0,0.06308013200759888,0
TCGA-66-2773-01,0.0,0.005239246413111687,0
TCGA-YL-A8SJ-01,0.0,0.01586809568107128,0
TCGA-4N-A93T-01,0.0,0.0004821033508051187,0
TCGA-DM-A28K-01,0.0,0.005066338460892439,0
TCGA-BA-A8YP-01,0.0,0.012070685625076294,0
TCGA-DJ-A2Q5-01,0.0,0.07239869982004166,0
TCGA-Y8-A895-01,0.0,0.04200834035873413,0
TCGA-E2-A109-01,0.0,0.0023232067469507456,0
TCGA-HT-7616-01,0.0,0.004958879668265581,0
TCGA-43-8116-01,0.0,0.000860410975292325,0
TCGA-FZ-5924-01,0.0,0.013969727791845798,0
TCGA-C5-A7CO-01,0.0,0.00034290464827790856,0
TCGA-E2-A1B0-01,0.0,0.010947718285024166,0
TCGA-B9-A8YI-01,0.0,0.029514672234654427,0
TCGA-4X-A9FB-01,0.0,0.031134825199842453,0
TCGA-DR-A0ZM-01,0.0,0.2637702226638794,0
TCGA-B5-A0K9-01,0.0,0.1263023465871811,0
TCGA-B5-A0JY-01,0.0,0.3495270311832428,0
TCGA-CV-A6JO-01,0.0,0.008469324558973312,0
TCGA-4H-AAAK-01,0.0,0.004199964925646782,0
TCGA-KL-8334-01,0.0,0.05991930514574051,0
TCGA-HC-7747-01,0.0,0.00014391330478247255,0
TCGA-D8-A1XV-01,0.0,0.17561855912208557,0
TCGA-AJ-A8CV-01,0.0,0.024355676025152206,0
TCGA-AF-6655-01,0.0,0.003986523952335119,0
TCGA-A7-A6VV-01,0.0,0.05155106261372566,0
TCGA-AF-A56N-01,0.0,0.03069242835044861,0
TCGA-EO-A22X-01,0.0,0.05641768500208855,0
TCGA-BA-5151-01,0.0,0.003206429770216346,0
TCGA-E8-A242-01,0.0,0.08646434545516968,0
TCGA-S9-A6WL-01,0.0,0.01753046177327633,0
TCGA-D1-A0ZO-01,0.0,0.026220273226499557,0
TCGA-2G-AAGM-01,0.0,9.41107064136304e-05,0
TCGA-CC-A1HT-01,0.0,0.0557103157043457,0
TCGA-CR-6482-01,0.0,0.41729283332824707,0
